Id,Timestamp,Time,MS,V,A,MV,T,Area1,current_density,humidity,ambient_temperature,bath_pH,bath_conductivity,diameter,roughness_average_b,roughness_standard_deviation_b,alloy,voltage,ramp_time,holding_time,experiment_time,area,observations,thickness_average_a,thickness_standard_deviation_a,thickness_average_b,thickness_standard_deviation_b,roughness_average_a,roughness_standard_deviation_a
42132,1693563780,2023-09-01 10:23:00,000,+0.01,+0.002,-0.02,+38.4,0.5,0.004,69,24.3,0.46,122,10,NaN,NaN,7075,20,60,,60,0.5,FE-SEM measured thickness,0.1502,NaN,NaN,NaN,NaN,
42135,1693563780.75,2023-09-01 10:23:00,750,+0.01,+0.002,-0.01,+38.4,0.5,0.004,69,24.3,0.46,122,10,NaN,NaN,7075,20,60,,60,0.5,FE-SEM measured thickness,0.1502,NaN,NaN,NaN,NaN,
42138,1693563781.5,2023-09-01 10:23:01,500,+0.01,+0.001,-0.02,+38.4,0.5,0.002,69,24.3,0.46,122,10,NaN,NaN,7075,20,60,,60,0.5,FE-SEM measured thickness,0.1502,NaN,NaN,NaN,NaN,
42140,1693563782,2023-09-01 10:23:02,000,+0.01,+0.001,-0.02,+38.4,0.5,0.002,69,24.3,0.46,122,10,NaN,NaN,7075,20,60,,60,0.5,FE-SEM measured thickness,0.1502,NaN,NaN,NaN,NaN,
42142,1693563782.5,2023-09-01 10:23:02,500,+0.01,+0.001,-0.02,+38.4,0.5,0.002,69,24.3,0.46,122,10,NaN,NaN,7075,20,60,,60,0.5,FE-SEM measured thickness,0.1502,NaN,NaN,NaN,NaN,
42146,1693563783.5,2023-09-01 10:23:03,500,+0.01,+0.001,-0.03,+38.4,0.5,0.002,69,24.3,0.46,122,10,NaN,NaN,7075,20,60,,60,0.5,FE-SEM measured thickness,0.1502,NaN,NaN,NaN,NaN,
42148,1693563784,2023-09-01 10:23:04,000,+0.01,+0.001,-0.03,+38.4,0.5,0.002,69,24.3,0.46,122,10,NaN,NaN,7075,20,60,,60,0.5,FE-SEM measured thickness,0.1502,NaN,NaN,NaN,NaN,
42150,1693563784.5,2023-09-01 10:23:04,500,+0.01,+0.001,-0.04,+38.4,0.5,0.002,69,24.3,0.46,122,10,NaN,NaN,7075,20,60,,60,0.5,FE-SEM measured thickness,0.1502,NaN,NaN,NaN,NaN,
42153,1693563785.25,2023-09-01 10:23:05,250,+0.01,+0.001,-0.02,+38.4,0.5,0.002,69,24.3,0.46,122,10,NaN,NaN,7075,20,60,,60,0.5,FE-SEM measured thickness,0.1502,NaN,NaN,NaN,NaN,
42162,1693563787.5,2023-09-01 10:23:07,500,+0.01,+0.001,-0.02,+38.4,0.5,0.002,69,24.3,0.46,122,10,NaN,NaN,7075,20,60,,60,0.5,FE-SEM measured thickness,0.1502,NaN,NaN,NaN,NaN,
42165,1693563788.25,2023-09-01 10:23:08,250,+0.01,+0.001,-0.01,+38.4,0.5,0.002,69,24.3,0.46,122,10,NaN,NaN,7075,20,60,,60,0.5,FE-SEM measured thickness,0.1502,NaN,NaN,NaN,NaN,
